MESS_NAME,MONTH,BF_WASTE,BF_PLATE,BF_WASTE_%,LUNCH_WASTE,LUNCH_PLATE,LUNCH_WASTE_%,SNACKS_WASTE,SNACKS_PLATE,SNACKS_WASTE_%,DINNER_WASTE,DINNER_PLATE,DINNER_WASTE_%,MONTH_AVG_WASTE_%
SENBAGAM,Mar-2024,596.0,28770,2,1096.0,45250,2,0,46430,0,1246.0,46430,3,2
STAFF MESS,Apr-2023,716.0,12528,6,1499.0,17466,9,0,7781,0,521.0,7044,7,6
STAFF MESS,May-2023,729.0,13951,5,1567.0,22240,7,0,9990,0,590.0,9990,6,4
STAFF MESS,Jun-2023,902.0,18063,5,1630.0,23297,7,0,12504,0,714.0,12539,6,4
STAFF MESS,Jul-2023,1064.0,24139,4,1694.0,27619,6,0,18746,0,812.0,18746,4,4
STAFF MESS,Aug-2023,983.0,24507,4,1706.0,26746,6,0,19371,0,809.0,19514,4,4
STAFF MESS,Sep-2023,697.0,23272,3,1443.0,22932,6,0,16988,0,683.0,16988,4,3
STAFF MESS,Oct-2023,744.0,22343,3,1644.0,27087,6,0,13532,0,675.0,13532,5,4
STAFF MESS,Nov-2023,713.0,20244,4,1525.0,21583,7,0,10143,0,647.0,10143,6,4
STAFF MESS,Dec-2023,762.0,20462,4,1474.0,21808,7,0,8604,0,566.0,8604,7,4
STAFF MESS,Jan-2024,679.0,21647,3,1287.0,21145,6,0,8859,0,575.0,8689,7,4
STAFF MESS,Feb-2024,702.0,20814,3,1233.0,21988,6,0,6774,0,470.0,6777,7,4
STAFF MESS,Mar-2024,691.0,21427,3,1225.0,22148,6,0,7053,0,473.0,7053,7,4
