Mess,Month,Meal,Waste_KG,Plates,Waste_Percent,Estimated_Dish
SANNASI,Jan-24,LUNCH,3937,120981,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,Jan-24,SNACKS,0,112366,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SANNASI,Jan-24,DINNER,4753,113466,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,Feb-24,BF,1120,54206,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SANNASI,Feb-24,LUNCH,3907,155689,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,Feb-24,SNACKS,0,168926,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SANNASI,Feb-24,DINNER,5306,165326,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,Mar-24,BF,876,51533,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SANNASI,Mar-24,LUNCH,4498,162869,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,Mar-24,SNACKS,0,171597,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SANNASI,Mar-24,DINNER,5796,171598,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,Apr-23,BF,1131,18560,6,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,Apr-23,LUNCH,2109,23780,9,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,Apr-23,SNACKS,0,25070,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,Apr-23,DINNER,1918,24990,8,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,May-23,BF,1101,19820,6,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,May-23,LUNCH,1559,22415,7,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,May-23,SNACKS,0,24565,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,May-23,DINNER,2017,24155,8,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,Jun-23,BF,552,9630,6,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,Jun-23,LUNCH,834,10435,8,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,Jun-23,SNACKS,0,11113,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,Jun-23,DINNER,903,11048,8,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,Jul-23,BF,692,18070,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,Jul-23,LUNCH,983,20685,5,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,Jul-23,SNACKS,0,22218,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,Jul-23,DINNER,1171,22218,5,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,Aug-23,BF,926,28621,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,Aug-23,LUNCH,1180,33720,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,Aug-23,SNACKS,0,37262,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,Aug-23,DINNER,1454,37262,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,Sep-23,BF,768,25850,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,Sep-23,LUNCH,1160,33820,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,Sep-23,SNACKS,0,36740,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,Sep-23,DINNER,1434,36770,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,Oct-23,BF,767,23980,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,Oct-23,LUNCH,1162,37370,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,Oct-23,SNACKS,0,43070,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,Oct-23,DINNER,1428,43070,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,Nov-23,BF,656,25900,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,Nov-23,LUNCH,1094,35500,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,Nov-23,SNACKS,0,39475,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,Nov-23,DINNER,1241,39475,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,Dec-23,BF,389,15635,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,Dec-23,LUNCH,659,20235,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,Dec-23,SNACKS,0,21520,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,Dec-23,DINNER,838,21640,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,Jan-24,BF,254,20310,1,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,Jan-24,LUNCH,424,24910,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,Jan-24,SNACKS,0,26700,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,Jan-24,DINNER,530,27480,2,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,Feb-24,BF,532,28741,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,Feb-24,LUNCH,971,42120,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,Feb-24,SNACKS,0,44180,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,Feb-24,DINNER,1156,44180,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SENBAGAM,Mar-24,BF,596,28770,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SENBAGAM,Mar-24,LUNCH,1096,45250,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SENBAGAM,Mar-24,SNACKS,0,46430,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SENBAGAM,Mar-24,DINNER,1246,46430,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,Apr-23,BF,716,12528,6,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,Apr-23,LUNCH,1499,17466,9,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,Apr-23,SNACKS,0,7781,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,Apr-23,DINNER,521,7044,7,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,May-23,BF,729,13951,5,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,May-23,LUNCH,1567,22240,7,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,May-23,SNACKS,0,9990,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,May-23,DINNER,590,9990,6,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,Jun-23,BF,902,18063,5,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,Jun-23,LUNCH,1630,23297,7,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,Jun-23,SNACKS,0,12504,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,Jun-23,DINNER,714,12539,6,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,Jul-23,BF,1064,24139,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,Jul-23,LUNCH,1694,27619,6,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,Jul-23,SNACKS,0,18746,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,Jul-23,DINNER,812,18746,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,Aug-23,BF,983,24507,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,Aug-23,LUNCH,1706,26746,6,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,Aug-23,SNACKS,0,19371,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,Aug-23,DINNER,809,19514,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,Sep-23,BF,697,23272,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,Sep-23,LUNCH,1443,22932,6,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,Sep-23,SNACKS,0,16988,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,Sep-23,DINNER,683,16988,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,Oct-23,BF,744,22343,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,Oct-23,LUNCH,1644,27087,6,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,Oct-23,SNACKS,0,13532,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,Oct-23,DINNER,675,13532,5,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,Nov-23,BF,713,20244,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,Nov-23,LUNCH,1525,21583,7,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,Nov-23,SNACKS,0,10143,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,Nov-23,DINNER,647,10143,6,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,Dec-23,BF,762,20462,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,Dec-23,LUNCH,1474,21808,7,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,Dec-23,SNACKS,0,8604,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,Dec-23,DINNER,566,8604,7,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,Jan-24,BF,679,21647,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,Jan-24,LUNCH,1287,21145,6,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,Jan-24,SNACKS,0,8859,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,Jan-24,DINNER,575,8689,7,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,Feb-24,BF,702,20814,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,Feb-24,LUNCH,1233,21988,6,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,Feb-24,SNACKS,0,6774,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,Feb-24,DINNER,470,6777,7,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
STAFF MESS,Mar-24,BF,691,21427,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
STAFF MESS,Mar-24,LUNCH,1225,22148,6,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
STAFF MESS,Mar-24,SNACKS,0,7053,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
STAFF MESS,Mar-24,DINNER,473,7053,7,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
