Mess,Month,Meal,Waste_KG,Plates,Waste_Percent,Estimated_Dish
D-MESS,Feb-24,LUNCH,1680,43656,4,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
D-MESS,Feb-24,SNACKS,0,51643,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
D-MESS,Feb-24,DINNER,1867,51643,4,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
D-MESS,Mar-24,BF,1013,21414,5,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
D-MESS,Mar-24,LUNCH,1720,49248,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
D-MESS,Mar-24,SNACKS,0,47967,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
D-MESS,Mar-24,DINNER,2248,47967,5,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,Apr-23,BF,892,24014,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
J-MESS,Apr-23,LUNCH,2577,30024,9,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,Apr-23,SNACKS,0,30414,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
J-MESS,Apr-23,DINNER,2661,30515,9,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
J-MESS,May-23,BF,968,24933,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
J-MESS,May-23,LUNCH,2616,29981,9,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
J-MESS,May-23,SNACKS,0,32475,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
